Group,Segment,Normalized by Length,Normalized by Weight,Normalized by Cost,Cost,Dollars per Kilogram,Cumulative Diameter Difference per Meter
PETG_01,,12.276957696832977,3463.314051770731,559.8292709755838,45.6,45.6,32.360942480171545
PETG_02,,7.271671077378223,2027.200026070329,181.7190602236818,24.99,24.99,8.26501681798921
PETG_03,,10.385750245538683,3339.3001577723408,473.5902111965639,45.6,45.6,13.889835532009728
PETG_04,,7.8046728326354415,1742.076730402499,171.546708861327,21.98,21.98,4.342981831804166
PETG_05,,5.736345374970287,1824.0055292708457,143.35127092050743,24.99,24.99,20.45363498114997
PLA_01,,3.4290011321169263,836.4034991964701,228.6115054782355,66.67,66.67,6.8884132454486355
PLA_02,,3.960142583900203,1251.372385336147,98.96396317166607,24.99,24.99,16.220162688712676
PLA_03,,10.944956983943584,3570.584590177609,228.4212522549026,20.87,20.87,10.230797178995243
PLA_04,,8.253093188712484,2772.112654104166,172.24205484842952,20.87,20.87,20.062523825124018
